handle,followers,n,median_views,median_vpf,share_above_topic_median,share_ai_or_3d,share_high_quality,share_shoppable,account_kind,top_topic_groups,earliest_known_post,followers_per_day_since_first_known_post,observed_monetization_types,deep_profiled,score_virality,score_consistency,score_reach,score_growth,score_repeatability,score_ai_suitability,score_monetizability,score_quality,score_originality,score_total,rank,outperformer
volcanicbuildx,18000.0,2,74500.0,4.138888888888889,0.0,1.0,0.0,0.0,ai_creator,ai;unusual_home,,,0,False,0.586,0.073,0.111,0.0,0.318,0.793,0.172,0.065,0.655,0.3429,221,False
zachariemaille_,546000.0,2,593000.0,1.0891779788838611,0.5,0.0,1.0,0.0,real_estate,location,,,0,False,0.284,0.397,0.527,0.0,0.318,0.238,0.172,0.753,0.655,0.3418,222,False
mybeautifulblisshome,109000.0,2,297500.0,2.729357798165138,0.0,0.0,0.5,1.0,lifestyle_influencer,interior_generic;luxury_room,,,0,False,0.49,0.073,0.318,0.0,0.318,0.238,0.701,0.274,0.655,0.3349,223,False
relaxinoffgrid,1000000.0,3,79100.0,0.0791,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,theme_page,cozy_ambience;unusual_home,,,0,False,0.046,0.184,0.126,0.0,0.718,0.793,0.525,0.412,0.19,0.3342,224,False
westmod,575000.0,2,697650.0,1.213304347826087,0.5,0.0,0.5,0.5,designer_studio,pool;garden_outdoor,,,0,False,0.314,0.397,0.582,0.0,0.318,0.238,0.452,0.274,0.655,0.3335,225,False
homeaiapp,617000.0,2,79600.0,0.12901134521880064,0.5,1.0,0.5,0.5,ai_creator,style;unusual_home,,,0,False,0.088,0.397,0.13,0.0,0.318,0.793,0.452,0.274,0.655,0.3264,226,False
andreavetrano,1000000.0,2,157000.0,0.157,0.5,0.0,1.0,1.0,lifestyle_influencer,hotel_resort,,,0,False,0.096,0.397,0.211,0.0,0.318,0.238,0.701,0.753,0.655,0.3255,227,False
fancyhomeai,26000.0,2,13100.0,0.5038461538461538,0.0,1.0,1.0,0.0,ai_creator,style;unusual_home,,,0,False,0.172,0.073,0.019,0.0,0.318,0.793,0.172,0.753,0.655,0.3197,228,False
kuchecucina,93000.0,2,108400.0,1.1655913978494623,0.5,0.0,0.5,1.0,brand_manufacturer,room_generic;luxury_room,,,0,False,0.307,0.397,0.165,0.0,0.318,0.238,0.701,0.274,0.655,0.3151,229,False
step_designfirm,13000.0,2,17518.0,1.3475384615384616,0.0,0.5,0.5,1.0,designer_studio,luxury_room;hotel_resort,,,0,False,0.33,0.073,0.027,0.0,0.318,0.51,0.701,0.274,0.655,0.3144,230,False
luxlocators,44000.0,2,144150.0,3.276136363636364,0.5,0.0,0.5,0.0,real_estate,luxury_home,,,0,False,0.536,0.397,0.195,0.0,0.318,0.238,0.172,0.274,0.655,0.3113,231,False
lifetime_interior_design,294000.0,2,32550.0,0.11071428571428571,0.0,1.0,1.0,0.0,ai_creator,luxury_room;luxury_home,,,0,False,0.084,0.073,0.073,0.0,0.318,0.793,0.172,0.753,0.655,0.3075,232,False
yourfantasyhomes,23000.0,3,24800.0,1.0782608695652174,0.3333333333333333,1.0,0.0,0.0,theme_page,future_arch,2024-04-15,25.755879059350505,0,True,0.276,0.184,0.042,0.034,0.718,0.793,0.172,0.065,0.19,0.3052,233,False
dutch_belgium_gardens,213000.0,2,396500.0,1.8615023474178403,0.0,0.0,1.0,0.0,theme_page,garden_outdoor,,,0,False,0.387,0.073,0.414,0.0,0.318,0.238,0.172,0.753,0.19,0.2955,234,False
perfect_decorss,83000.0,3,20100.0,0.2421686746987952,0.0,1.0,0.0,0.6666666666666666,theme_page,luxury_room;fantasy_dream,,,0,False,0.115,0.073,0.031,0.0,0.718,0.793,0.525,0.065,0.19,0.2926,235,False
sapphireluxuryhomes,89000.0,3,85900.0,0.9651685393258427,0.0,0.0,0.6666666666666666,0.3333333333333333,contractor_trade,luxury_home;luxury_room,,,0,False,0.257,0.073,0.142,0.0,0.718,0.238,0.379,0.412,0.655,0.2921,236,False
itsmesohaib,352000.0,2,301000.0,0.8551136363636365,1.0,0.0,0.0,0.0,lifestyle_influencer,location,,,0,False,0.234,0.881,0.322,0.0,0.318,0.238,0.172,0.065,0.655,0.291,237,False
trillionaireestates,362000.0,3,80700.0,0.2229281767955801,0.0,0.3333333333333333,1.0,0.0,theme_page,location;future_arch,,,0,False,0.107,0.073,0.134,0.0,0.718,0.481,0.172,0.753,0.19,0.2881,238,False
thenightfallgroup,2000000.0,2,115750.0,0.057875,0.5,0.0,1.0,0.5,real_estate,location,,,0,False,0.031,0.397,0.176,0.0,0.318,0.238,0.452,0.753,0.655,0.2841,239,False
terplanet,1000000.0,2,498500.0,0.4985,0.0,0.0,1.0,0.0,lifestyle_influencer,hotel_resort,,,0,False,0.169,0.073,0.479,0.0,0.318,0.238,0.172,0.753,0.655,0.2816,240,False
skyviewexperts,350000.0,3,28000.0,0.08,0.6666666666666666,0.0,0.6666666666666666,0.0,real_estate,pool;real_estate;ai,,,0,False,0.05,0.644,0.061,0.0,0.718,0.238,0.172,0.412,0.655,0.2791,241,False
beyondbespokevillas,109000.0,2,153150.0,1.405045871559633,0.5,0.0,0.5,0.5,other,luxury_home;hotel_resort,,,0,False,0.333,0.397,0.207,0.0,0.318,0.238,0.452,0.274,0.036,0.2689,242,False
